"","resource","site","minmax","CI","dates"
"182","GM","31","min_date","CI66","2023-7-9"
"183","GM","31","max_date","CI66","2023-7-22"
"184","GM","31","min_date","CI95","2023-7-1"
"185","GM","31","max_date","CI95","2023-7-29"
"186","GM","31","min_date","CI99","2023-6-28"
"187","GM","31","max_date","CI99","2023-8-2"
"188","GM","32","min_date","CI66","2023-7-16"
"189","GM","32","max_date","CI66","2023-7-30"
"190","GM","32","min_date","CI95","2023-7-9"
"191","GM","32","max_date","CI95","2023-8-4"
"192","GM","32","min_date","CI99","2023-7-7"
"193","GM","32","max_date","CI99","2023-8-7"
